species,pop,author,lat,lon,num_individuals,num_loci,gene_diversity,global_fst,popden,poplvlsd,adult_mass_g,site_PET_mm_yr,PET_mean,AET_mean,lc_5kSI,lc_20kSI,lc_50kSI,lc_100kSI
Canis_latrans,Heppenheimer_Pennsylvania_Clarion,Heppenheimer,41.19807,-79.47046,7,10,0.74733,0.044371,21.88750029,49,12000,1072.897959,1039.96886,386.117248,0.693394948,0.692595742,0.712965863,0.742325686
Canis_latrans,Heppenheimer_Pennsylvania_Clearfield,Heppenheimer,40.95352,-78.56663,10,10,0.780998,0.030888,20.99749947,53,12000,1069.714876,1039.96886,386.117248,0.685778855,0.658370263,0.647300262,0.689015683
Canis_latrans,Heppenheimer_Pennsylvania_Erie,Heppenheimer,42.05406,-80.18717,10,10,0.80184,0.009308,209.1066755,47,12000,1048.162933,1039.96886,386.117248,0.727650328,0.717543343,0.767798247,0.784082826
Canis_latrans,Heppenheimer_Pennsylvania_Mercer,Heppenheimer,41.26241,-80.18816,10,10,0.755882,0.062911,50.24333318,50,12000,1077.458333,1039.96886,386.117248,0.666064922,0.712796671,0.770180334,0.776245024
Canis_latrans,Heppenheimer_Pennsylvania_Montour,Heppenheimer,41.0263,-76.68762,7,10,0.740328,0.054752,35.72000027,55,12000,1136.146341,1039.96886,386.117248,0.71495376,0.700173713,0.716797785,0.726763866
Canis_latrans,Heppenheimer_Pennsylvania_Somerset,Heppenheimer,40.02207,-78.92815,5,10,0.69175,0.062935,21.99250054,55,12000,1081.881356,1039.96886,386.117248,0.632507793,0.630445452,0.66629079,0.673198688
Canis_latrans,Heppenheimer_Pennsylvania_Tioga,Heppenheimer,41.76496,-77.28649,7,10,0.726418,0.063962,15.21999979,52,12000,1001.044534,1039.96886,386.117248,0.685625807,0.695219419,0.710186925,0.727884892
Canis_latrans,Heppenheimer_Pennsylvania_Warren,Heppenheimer,41.81433,-79.29022,5,10,0.739208,0.015021,22.39999986,50,12000,1001.083673,1039.96886,386.117248,0.701648555,0.719895209,0.761134652,0.77797029
Canis_latrans,Heppenheimer_Pennsylvania_Washington,Heppenheimer,40.13678,-80.1875,6,10,0.728736,0.045858,100.0625019,48,12000,1179.689727,1039.96886,386.117248,0.723377619,0.675691948,0.657259449,0.651838595
Canis_latrans,Heppenheimer_Pennsylvania_Wyoming,Heppenheimer,41.50047,-76.0392,6,10,0.711611,0.083149,19.59999975,54,12000,1031.038697,1039.96886,386.117248,0.731221266,0.718552825,0.720327422,0.738501992
Canis_latrans,Heppenheimer_South_Carolina_McCormick,Heppenheimer,33.86553,-82.25835,10,10,0.803099,0.008413,10.56500006,51,12000,1533.788636,1039.96886,386.117248,0.756629762,0.820611184,0.844674321,0.859548747
Canis_lupus,4_Wheeldon_Gwolf,Wheeldon,47.7,-79.85,62,12,0.664976,NA,5.845000029,44,35000,794.7238267,642.500658,339.964247,0.783806338,0.749251495,0.758633473,0.776748702
Glaucomys_volans,Marrotte_S1,Marrotte,45.550542,-78.609199,22,7,0.780633,0.003386,1.039999962,48,72,790.2277992,1287.094313,693.849474,0.647066169,0.653758709,0.698723186,0.770727609
Glaucomys_volans,Marrotte_S2,Marrotte,46.000525,-78.839275,6,7,0.654504,0.102205,1.039999962,48,72,792.9810606,1287.094313,693.849474,0.619515822,0.658941692,0.696648475,0.750826877
Glaucomys_volans,Marrotte_S3,Marrotte,45.170522,-78.849138,33,7,0.781226,0.013235,4.78333346,50,72,829.6782946,1287.094313,693.849474,0.674042487,0.710611911,0.758016997,0.79307622
Glaucomys_volans,Marrotte_S4,Marrotte,44.680572,-78.339046,60,7,0.799742,-0.005555,6.105000019,51,72,863.146771,1287.094313,693.849474,0.769763677,0.782253363,0.799135215,0.7983585
Glaucomys_volans,Marrotte_S5,Marrotte,46.40052,-78.929354,11,7,0.726947,0.036909,1.039999962,47,72,805.0691589,1287.094313,693.849474,0.666985003,0.699259402,0.710604886,0.748274443
Glaucomys_volans,Marrotte_S6,Marrotte,44.570552,-78.499032,120,7,0.80834,-0.012514,33.58999968,51,72,878.1886051,1287.094313,693.849474,0.797864486,0.79588236,0.804001683,0.800743358
Glaucomys_volans,Marrotte_S7,Marrotte,42.520284,-81.628722,11,7,0.704462,0.069086,6.105000019,48,72,1025.924949,1287.094313,693.849474,0.581269457,0.59131068,0.656595224,0.72272616
Glaucomys_volans,Marrotte_S8,Marrotte,45.170522,-78.849138,15,7,0.763896,0.011406,4.78333346,50,72,829.6782946,1287.094313,693.849474,0.674042487,0.710611911,0.758016997,0.79307622
Lasionycteris_noctivagans,Baerwald_Alberta_Lano,Baerwald,49.58444,-113.79666,87,18,0.8256,NA,2.399999936,53,10.9,1193.408127,1252.717467,456.529503,0.711470317,0.782849833,0.781029788,0.777228642
Lasiurus_cinereus,Baerwald_Alberta_Laci,Baerwald,49.58444,-113.79666,132,19,0.879602,NA,2.399999936,53,26.8,1193.408127,1126.831743,417.326469,0.711470317,0.782849833,0.781029788,0.777228642
Leopardus_pardalis,Janecka_ocelot_LANWR,Janecka,26.22919,-97.34732,42,10,0.36178,0.341541,35.50500011,49,11900,1759.370629,2287.602392,258.840539,0.757180923,0.717364474,0.681415123,0.672027616
Leopardus_pardalis,Janecka_ocelot_Willacy,Janecka,26.4948,-97.69828,28,10,0.577477,-0.022271,18.73000026,53,11900,1864.786241,2287.602392,258.840539,0.774819855,0.816311649,0.789313536,0.761616634
Lepus_americanus,Cheng_AB1,Cheng,52.812438,-114.002536,9,8,0.719907,0.063587,3.079999924,44,1570,942.4899329,750.202831,380.447963,0.490338394,0.523288334,0.641619944,0.664073047
Lepus_americanus,Cheng_AB2,Cheng,55.580996,-115.155772,18,8,0.745949,0.052202,1.039999962,44,1570,861.103125,750.202831,380.447963,0.809418261,0.807838369,0.793531118,0.80129174
Lepus_americanus,Cheng_AK2,Cheng,64.41532,-147.667147,28,8,0.607781,0.200205,2.069999933,37,1570,630.5614657,750.202831,380.447963,0.748156571,0.808501072,0.802721247,0.763781541
Lepus_americanus,Cheng_AK4,Cheng,67.044336,-162.423543,15,8,0.621944,0.191698,1.039999962,26,1570,450.0013387,750.202831,380.447963,0.789420448,0.777006318,0.782401069,0.80179715
Lepus_americanus,Cheng_AK6,Cheng,61.979331,-145.31326,9,8,0.607253,0.160155,1.039999962,34,1570,559.8783959,750.202831,380.447963,0.586519729,0.745829748,0.7883848,0.796455304
Lepus_americanus,Cheng_BC1,Cheng,49.270931,-122.974924,15,8,0.49,0.354662,2711.290019,52,1570,927.2530864,750.202831,380.447963,0.794882175,0.808194748,0.795417454,0.77242024
Lepus_americanus,Cheng_BC2,Cheng,53.46312,-122.866688,25,8,0.6526,0.143906,1.039999962,49,1570,842.642623,750.202831,380.447963,0.743177066,0.729236353,0.683872753,0.703082765
Lepus_americanus,Cheng_BC4,Cheng,51.56681,-121.32603,9,8,0.618056,0.165032,1.039999962,51,1570,913.1322034,750.202831,380.447963,0.611361688,0.60293327,0.643812724,0.697706326
Lepus_americanus,Cheng_CA1,Cheng,41.441051,-121.904507,12,8,0.581597,0.208375,1.039999962,71,1570,1323.863265,750.202831,380.447963,0.406418364,0.661094171,0.678225568,0.675690583
Lepus_americanus,Cheng_CA2,Cheng,39.883671,-121.018686,7,8,0.480867,0.357116,1.039999962,71,1570,1527.401261,750.202831,380.447963,0.374960864,0.61521168,0.755795094,0.74615858
Lepus_americanus,Cheng_CO1,Cheng,38.776789,-106.648968,58,8,0.568464,0.253908,1.039999962,65,1570,1111.440678,750.202831,380.447963,0.716024775,0.74076341,0.761185893,0.766947724
Lepus_americanus,Cheng_IR1,Cheng,47.878227,-89.176299,10,8,0.669824,0.103713,0.693333308,2,1570,801.4649446,750.202831,380.447963,0.274253584,0.422562066,0.571392291,0.664778845
Lepus_americanus,Cheng_MB1,Cheng,53.291962,-101.409088,13,8,0.685651,0.100881,1.039999962,47,1570,812.212766,750.202831,380.447963,0.589592511,0.765021984,0.7984917,0.828460353
Lepus_americanus,Cheng_ME1,Cheng,45.464673,-69.191793,40,8,0.758906,0.053501,1.039999962,49,1570,889.7869482,750.202831,380.447963,0.806236985,0.812127661,0.810912814,0.82638495
Lepus_americanus,Cheng_MI1,Cheng,46.515406,-87.407227,8,8,0.746094,0.033666,63.35249996,49,1570,956.3056604,750.202831,380.447963,0.787618988,0.755333588,0.743835077,0.670572437
Lepus_americanus,Cheng_MN1,Cheng,46.750958,-92.299313,34,8,0.721724,0.078087,80.2400012,55,1570,911.417603,750.202831,380.447963,0.792266309,0.767668166,0.797449383,0.814940972
Lepus_americanus,Cheng_MN2,Cheng,47.729357,-94.734496,12,8,0.759549,0.022905,4.610000134,53,1570,909.2402957,750.202831,380.447963,0.779069735,0.72014293,0.733898578,0.774645316
Lepus_americanus,Cheng_MT1,Cheng,48.445959,-114.274658,100,8,0.725381,0.109302,33.5,66,1570,1086.783883,750.202831,380.447963,0.578497403,0.60782587,0.692413229,0.710320617
Lepus_americanus,Cheng_NB1,Cheng,47.6139,-65.66682,20,8,0.723064,0.081882,3.423333327,42,1570,789.1096774,750.202831,380.447963,0.78350384,0.787637591,0.785471187,0.791820145
Lepus_americanus,Cheng_NWT1,Cheng,65.3,-126.80008,9,8,0.70216,0.064562,4.065000057,30,1570,653.5471264,750.202831,380.447963,0.712760157,0.793898245,0.811537419,0.822161266
Lepus_americanus,Cheng_NWT2,Cheng,61.829867,-121.341291,18,8,0.701582,0.104081,5.613333305,34,1570,694.5911458,750.202831,380.447963,0.444099188,0.547369372,0.622083868,0.651553556
Lepus_americanus,Cheng_NY1,Cheng,43.625235,-74.144677,13,8,0.758136,0.048073,4.110000134,53,1570,863.9065606,750.202831,380.447963,0.672645813,0.750358825,0.771731615,0.794339023
Lepus_americanus,Cheng_ON1,Cheng,48.561905,-79.017227,11,8,0.711699,0.052275,3.075000048,43,1570,754.0346084,750.202831,380.447963,0.792824485,0.780043392,0.775057935,0.763533553
Lepus_americanus,Cheng_ON3,Cheng,48.630764,-81.575773,19,8,0.729917,0.066555,13.13000011,44,1570,748.9945155,750.202831,380.447963,0.721400788,0.731716548,0.733332181,0.745993315
Lepus_americanus,Cheng_OR1,Cheng,43.773935,-121.82194,32,8,0.673523,0.156153,4.110000134,73,1570,1163.954635,750.202831,380.447963,0.423856563,0.516759682,0.624486662,0.685819621
Lepus_americanus,Cheng_OR2,Cheng,44.556151,-118.365043,17,8,0.593858,0.206177,1.039999962,70,1570,1187.114786,750.202831,380.447963,0.585462169,0.67813826,0.713205999,0.736704551
Lepus_americanus,Cheng_PA1,Cheng,41.474128,-78.879522,10,8,0.62125,0.125763,93.04332964,52,1570,991.0590631,750.202831,380.447963,0.648859838,0.659336763,0.684845706,0.744542777
Lepus_americanus,Cheng_PA2,Cheng,41.25827,-75.570485,13,8,0.657175,0.127974,42.4199996,57,1570,994.0881148,750.202831,380.447963,0.656655062,0.704697095,0.731786484,0.764804152
Lepus_americanus,Cheng_QC3,Cheng,50.327568,-63.699646,20,8,0.74882,0.052654,1.039999962,35,1570,671.3552361,750.202831,380.447963,0.706593841,0.672827538,0.649867381,0.666559314
